Wahlkreiscode,Wahlkreis,AfDShare2017,AvgNetFortzuege2014-2017,FortzuegeProzentFrom2013Population,Arbeitslos,EastWest,Ausbildung
5558,"Coesfeld, Kreis",6.218353407597337,-96.83333333333333,-0.04497976297755179,0.016356673960612692,0,0.005195113056163384
1051,"Dithmarschen, Landkreis",8.567697221252441,-60.27777777777778,-0.045436081692818285,0.03468043492922284,0,0.003731818624622509
7233,"Vulkaneifel, Landkreis",8.219844357976653,-27.833333333333332,-0.04580487671082573,0.023243554896631248,0,0.003742690058479532
9671,"Aschaffenburg, Landkreis",11.470917225950783,-80.77777777777777,-0.04674883401205955,0.016704125447637223,0,0.0019083859768119608
7132,"Altenkirchen (Westerwald), Landkreis",10.930990883077127,-61,-0.04751778021858179,0.0257937278225963,0,0.003486268450435201
14627,"Mei�en, Landkreis",32.876558016870646,-117.38888888888889,-0.04816626273567951,0.03368579687229785,1,0.002204544144411229
3452,"Aurich, Landkreis",8.924105615078842,-90.11111111111111,-0.04817281865042464,0.036504535427930654,0,0.002850238748295595
15088,Saalekreis,23.996481318579562,-93.5,-0.04981618626458522,0.04095550260385781,1,0.001534281432283524
9672,"Bad Kissingen, Landkreis",11.393874589475292,-52.611111111111114,-0.0511457843883841,0.017963491986636323,0,0.002878032247131167
9473,"Coburg, Landkreis",11.990991650798302,-44.388888888888886,-0.05118703962094687,0.017793635265005468,0,0.0011003050008632099
15084,Burgenlandkreis,24.334219072925894,-97.16666666666667,-0.05253501733745676,0.042051349687857204,1,0.0023026026554119404
14628,"S�chsische Schweiz-Osterzgebirge, Landkreis",35.464939271255055,-140.66666666666666,-0.05719575450281025,0.029541435428534175,1,0.0019118402073197564
15083,"B�rde, Landkreis",18.772037485828402,-99.22222222222223,-0.05736880819994922,0.03282373319275399,1,0.0019800833048505668
7335,"Kaiserslautern, Landkreis",13.99156336366428,-61.5,-0.059068163700452384,0.027392592452365853,0,0.0028490567823642437
5570,"Warendorf, Kreis",7.41624728636274,-161.33333333333334,-0.059178181346890575,0.030801058178174714,0,0.004939125921761132
3357,"Rotenburg (W�mme), Landkreis",8.071416984345852,-95.83333333333333,-0.05941015531364439,0.02367530313324397,0,0.0034288792180049827
3360,"Uelzen, Landkreis",9.366526990386985,-56.388888888888886,-0.06105601031756346,0.029047701198999396,0,0.0031398257569222807
9471,"Bamberg, Landkreis",15.489839150938375,-88.27777777777777,-0.06112361279403016,0.01378731648747476,0,0
9272,"Freyung-Grafenau, Landkreis",20.086698906461027,-47.666666666666664,-0.061405542816410266,0.01647839683451401,0,0.0027774586763673493
6532,Lahn-Dill-Kreis,13.920473027186054,-156.66666666666666,-0.06233578830235787,0.029032435750145576,0,0.0027612092979336176
3352,"Cuxhaven, Landkreis",8.913431128457034,-122.61111111111111,-0.06236355323620792,0.028036345280161534,0,0.0023765774861181223
16072,"Sonneberg, Kreis",25.572187059423463,-36.388888888888886,-0.0635591575646072,0.019020244495307037,1,0.0022710739695889002
13076,Landkreis Ludwigslust-Parchim,17.708400750760468,-135.27777777777777,-0.0638208089910022,0.0324766377128015,1,0.002355520840195368
3459,"Osnabr�ck, Landkreis",7.0341494289248825,-229.55555555555554,-0.06553075790476665,0.0190992306396361,0,0.002213174594260684
12070,"Prignitz, Landkreis",18.34478436989459,-51.44444444444444,-0.0659603354717019,0.04721535534473163,1,0.0022106312206360097
3455,"Friesland, Landkreis",8.220862920021647,-65.27777777777777,-0.06723221836566778,0.026210803073830818,0,0.0022495406511080203
6634,Schwalm-Eder-Kreis,12.86766045850494,-122.11111111111111,-0.06805539300286538,0.023147482213395,0,0.00407293891144871
7140,Rhein-Hunsr�ck-Kreis,9.814115689787561,-70.38888888888889,-0.06910763336627812,0.02100293380481455,0,0.0029279760632613806
9478,"Lichtenfels, Landkreis",13.167164033070788,-46.27777777777778,-0.06944027636062919,0.020096739895472993,0,0.002638633062281923
10042,"Merzig-Wadern, Landkreis",9.26283099051978,-71.66666666666667,-0.06948821124416225,0.024832137068765917,0,0.0030832754495639424
1061,"Steinburg, Landkreis",8.232852468200512,-91,-0.06999084735073105,0.03250438786442069,0,0.003622742434258014
9479,"Wunsiedel i.Fichtelgebirge, Landkreis",13.808707576276996,-52.388888888888886,-0.07100401025831006,0.02367830169422331,0,0.003554466898006396
3256,"Nienburg (Weser), Landkreis",9.806339305142526,-85.44444444444444,-0.0712940094490057,0.029077138388079363,0,0.003113525973491397
